"","Date","Heure","Count","Total_Weight","Total_axle_dist","T_mean","Time_mean","Vitesse_mean","Annee","Mois_annee","Mois_num","Jour_num","Jour_sem_num","Semaine_num","Semaine_fac","Heure_num","Jour_semaine","time_step","Jour_semaine_heure"
"1",2017-11-23,"00",14,275.833261977574,140.26137,12.8463,0.905627188510435,75.21444,2017,"novembre",11,23,4,47,"47",1,"jeudi",2017-11-23 00:00:00,"jeudi 00"
"2",2017-11-23,"01",11,292.930397553517,118.71912,12.7856,0.905735134913954,72.8242690909091,2017,"novembre",11,23,4,47,"47",2,"jeudi",2017-11-23 01:00:00,"jeudi 01"
"3",2017-11-23,"02",9,283.591437308868,106.3454,12.7861222222222,0.905848490369227,67.67436,2017,"novembre",11,23,4,47,"47",3,"jeudi",2017-11-23 02:00:00,"jeudi 02"
"4",2017-11-23,"03",24,501.946666666667,262.82355,12.8314666666667,0.90596565152392,79.000275,2017,"novembre",11,23,4,47,"47",4,"jeudi",2017-11-23 03:00:00,"jeudi 03"
"5",2017-11-23,"04",29,604.64493374108,298.64435,13.0237965517241,0.906076590659146,77.4667117241379,2017,"novembre",11,23,4,47,"47",5,"jeudi",2017-11-23 04:00:00,"jeudi 04"
"6",2017-11-23,"05",45,916.674852191641,503.139055830308,13.1572577777778,0.906198111711248,71.239432,2017,"novembre",11,23,4,47,"47",6,"jeudi",2017-11-23 05:00:00,"jeudi 05"
"7",2017-11-23,"06",94,2083.75523955148,1055.68398,12.9593946808511,0.906313140951974,68.0336655319149,2017,"novembre",11,23,4,47,"47",7,"jeudi",2017-11-23 06:00:00,"jeudi 06"
"8",2017-11-23,"07",147,3038.38980428135,1601.95247713846,12.8689455782313,0.906425177066711,68.9548163265306,2017,"novembre",11,23,4,47,"47",8,"jeudi",2017-11-23 07:00:00,"jeudi 07"
"9",2017-11-23,"08",181,3414.57402701325,1884.42458412935,12.728979558011,0.906537623911511,70.5420954696133,2017,"novembre",11,23,4,47,"47",9,"jeudi",2017-11-23 08:00:00,"jeudi 08"
"10",2017-11-23,"09",160,3140.07998980632,1728.93283024075,12.740431875,0.906653018703382,70.68568725,2017,"novembre",11,23,4,47,"47",10,"jeudi",2017-11-23 09:00:00,"jeudi 09"
"11",2017-11-23,"10",139,2457.84716819572,1469.0064147694,13.2055086330935,0.906767303287,72.7689522302158,2017,"novembre",11,23,4,47,"47",11,"jeudi",2017-11-23 10:00:00,"jeudi 10"
"12",2017-11-23,"11",134,2582.60351681957,1515.77721977229,13.8554955223881,0.906885970178045,66.7576047761194,2017,"novembre",11,23,4,47,"47",12,"jeudi",2017-11-23 11:00:00,"jeudi 11"
"13",2017-11-23,"12",113,2373.28742099898,1296.41037936755,13.7455318584071,0.907005209186879,67.0061054867257,2017,"novembre",11,23,4,47,"47",13,"jeudi",2017-11-23 12:00:00,"jeudi 12"
"14",2017-11-23,"13",147,2975.61208970438,1691.52772317058,13.3412020408163,0.907117337971711,69.584412244898,2017,"novembre",11,23,4,47,"47",14,"jeudi",2017-11-23 13:00:00,"jeudi 13"
"15",2017-11-23,"14",153,3226.10120591233,1696.10011644384,13.3562633986928,0.907237246454652,67.7108682352941,2017,"novembre",11,23,4,47,"47",15,"jeudi",2017-11-23 14:00:00,"jeudi 14"
"16",2017-11-23,"15",192,3892.10363914373,2100.4624422714,13.664240625,0.907349021461602,70.48274625,2017,"novembre",11,23,4,47,"47",16,"jeudi",2017-11-23 15:00:00,"jeudi 15"
"17",2017-11-23,"16",148,3266.07209276249,1597.54317852574,13.6467682432432,0.907459074308684,69.7045378378378,2017,"novembre",11,23,4,47,"47",17,"jeudi",2017-11-23 16:00:00,"jeudi 16"
"18",2017-11-23,"17",120,2939.86368399592,1402.35963961039,13.1801583333333,0.907579275709448,67.336179,2017,"novembre",11,23,4,47,"47",18,"jeudi",2017-11-23 17:00:00,"jeudi 17"
"19",2017-11-23,"18",106,2292.9472324159,1254.9043010075,12.4967613207547,0.907701346426353,71.5591120754717,2017,"novembre",11,23,4,47,"47",19,"jeudi",2017-11-23 18:00:00,"jeudi 18"
"20",2017-11-22,"00",11,237.020356778797,119.16381,12.1302909090909,0.902821253624205,75.2757381818182,2017,"novembre",11,22,3,47,"47",1,"mercredi",2017-11-22 00:00:00,"mercredi 00"
"21",2017-11-22,"01",16,406.913516819572,200.5365,11.91875,0.902954553674769,73.7333325,2017,"novembre",11,22,3,47,"47",2,"mercredi",2017-11-22 01:00:00,"mercredi 01"
"22",2017-11-22,"02",13,335.020489296636,152.5237,11.695,0.903084789984964,68.1270923076923,2017,"novembre",11,22,3,47,"47",3,"mercredi",2017-11-22 02:00:00,"mercredi 02"
"23",2017-11-22,"03",24,515.430581039755,279.14424,11.1795708333333,0.903199742530436,75.36027,2017,"novembre",11,22,3,47,"47",4,"mercredi",2017-11-22 03:00:00,"mercredi 03"
"24",2017-11-22,"04",27,476.753333333333,238.57718,10.7344407407407,0.903312364254687,80.4931466666667,2017,"novembre",11,22,3,47,"47",5,"mercredi",2017-11-22 04:00:00,"mercredi 04"
"25",2017-11-22,"05",56,1219.11944750255,661.463194994263,10.5085089285714,0.903416911811986,71.6751707142857,2017,"novembre",11,22,3,47,"47",6,"mercredi",2017-11-22 05:00:00,"mercredi 05"
"26",2017-11-22,"06",90,1858.07454638124,997.262437474695,10.4008555555556,0.90353449859968,73.862732,2017,"novembre",11,22,3,47,"47",7,"mercredi",2017-11-22 06:00:00,"mercredi 06"
